date,gdp,canada_gdp,mexico_gdp
1/1/1987,1996.6,226959.8,1617.359
4/1/1987,2019.025,229845.8,1661.614
7/1/1987,2037.35,233434,1663.393
10/1/1987,2070.95,236759.5,1683.491
1/1/1988,2082.6,240501.5,1672.12
4/1/1988,2110.125,242772.8,1666.755
7/1/1988,2122.3,242906.8,1668.812
10/1/1988,2150.4,244735.8,1702.059
1/1/1989,2172.1,247322,1733.949
4/1/1989,2189.175,248526.2,1734.612
7/1/1989,2205.525,249331.5,1766.947
10/1/1989,2210.175,248800.8,1751.366
1/1/1990,2234.375,251036.2,1789.446
4/1/1990,2243.025,249975.5,1828.274
7/1/1990,2243.575,248219.2,1853.213
10/1/1990,2224.45,246032,1876.767
1/1/1991,2214.025,242557.8,1881.94
4/1/1991,2231.225,243276,1910.737
7/1/1991,2241.925,244005,1914.29
10/1/1991,2251.7,244322.5,1948.865
1/1/1992,2278.3,244395.8,1948.695
4/1/1992,2303.425,244979.2,1980.651
7/1/1992,2325.825,246085.8,1999.042
10/1/1992,2349.125,247023.2,2000.707
1/1/1993,2353.5,248951.2,2011.103
4/1/1993,2367.475,251052.2,2021.156
7/1/1993,2379.025,253439.2,2042.949
10/1/1993,2410.775,254658.2,2062.455
1/1/1994,2434.4,258359.8,2087.365
4/1/1994,2467.675,262108,2121.976
7/1/1994,2482.225,265823,2142.434
10/1/1994,2510.4,267718.8,2169.613
1/1/1995,2518.975,270197.8,2052.586
4/1/1995,2527.775,270249,1963.189
7/1/1995,2549.425,270694.5,1993.439
10/1/1995,2567.525,271732.2,2020.811
1/1/1996,2584.35,271740.2,2066.403
4/1/1996,2629.475,273526.5,2096.495
7/1/1996,2653.8,276599.8,2128.981
10/1/1996,2681.85,279195.2,2187.595
1/1/1997,2702.275,281997,2207.182
4/1/1997,2743.05,285194,2249.624
7/1/1997,2778,288879.5,2293.008
10/1/1997,2799.55,291823.5,2342.844
1/1/1998,2827.25,295987.5,2363.714
4/1/1998,2854.675,296665.8,2377.511
7/1/1998,2892.025,299308.5,2389.973
10/1/1998,2939.475,303434,2391.523
1/1/1999,2966.95,308146.5,2428.266
4/1/1999,2991.925,311182.8,2419.12
7/1/1999,3030.025,315559,2449.807
10/1/1999,3082.45,320245,2479.164
1/1/2000,3091.3,324678.2,2530.924
4/1/2000,3149.675,328903.2,2572.141
7/1/2000,3153.7,332557,2587.375
10/1/2000,3170.5,333296.2,2578.073
1/1/2001,3161.425,334186.2,2562.451
4/1/2001,3178.2,335292,2554.116
7/1/2001,3168.525,335157,2561.515
10/1/2001,3176.3,337077,2554.901
1/1/2002,3206.15,341157.2,2536.434
4/1/2002,3223.675,343288.5,2555.775
7/1/2002,3239.175,346345.2,2574.758
10/1/2002,3240.725,348513.8,2579.527
1/1/2003,3257.15,350196.2,2585.055
4/1/2003,3287.95,349987.8,2593.301
7/1/2003,3343.5,351386,2591.988
10/1/2003,3381.425,354290.5,2622.85
1/1/2004,3401.65,356599.5,2664.035
4/1/2004,3427.675,360843.8,2698.962
7/1/2004,3457.75,365160.5,2703.406
10/1/2004,3486.925,367384,2744.508
1/1/2005,3525.05,368750.2,2763.033
4/1/2005,3544.3,371404.5,2761.817
7/1/2005,3573.225,376127.5,2796.235
10/1/2005,3593,379570.8,2842.25
1/1/2006,3636.6,382849.8,2892.594
4/1/2006,3647.9,383004.2,2932.176
7/1/2006,3651.1,383822.5,2944.062
10/1/2006,3679.6,385394.5,2951.899
1/1/2007,3682.025,387515.5,2983.746
4/1/2007,3710.375,390784.2,3015.702
7/1/2007,3735.375,393229.5,3032.355
10/1/2007,3749.025,394371,3056.075
1/1/2008,3723.85,394387.8,3060.58
4/1/2008,3742.3,396341.5,3076.387
7/1/2008,3723.775,398972,3075.023
10/1/2008,3643.65,394604.2,3016.871
1/1/2009,3593.025,385739,2899.925
4/1/2009,3589.225,382248.5,2871.567
7/1/2009,3600.625,384254.5,2930.692
10/1/2009,3635.05,389105.5,2980.046
1/1/2010,3649.425,394396.2,3019.167
4/1/2010,3684.5,396980.2,3060.483
7/1/2010,3709.825,398856.5,3088.51
10/1/2010,3735.6,403123.5,3112.761
1/1/2011,3723.5,405324.8,3144.763
4/1/2011,3752.825,404710.8,3173.006
7/1/2011,3765.525,410850,3217.278
10/1/2011,3810.525,412754.5,3243.074
1/1/2012,3845.4,413533,3265.868
4/1/2012,3856.925,415158.5,3318.189
7/1/2012,3883.5,415951,3320.687
10/1/2012,3884.9,416916.2,3350.938
1/1/2013,3895.975,419993.8,3359.226
4/1/2013,3919.925,421984.2,3334.521
7/1/2013,3959.825,425142.5,3366.895
10/1/2013,3985.575,428035.2,3371.373
1/1/2014,3956.05,429309.8,3380.718
4/1/2014,3983.99,430605.7,3411.144
7/1/2014,4013.594,433074.2,3456.171
10/1/2014,4044.51,435458.1,3504.557
1/1/2015,4076.574,438070.9,3527.719
4/1/2015,4108.229,440858.4,3548.871
7/1/2015,4139.854,443756.3,3569.976
10/1/2015,4172.913,446786.5,3592.957
1/1/2016,4206.744,449588.3,3634.45
4/1/2016,4241.898,452329.1,3675.544
7/1/2016,4276.823,454995.1,3714.136
10/1/2016,4311.065,457714.3,3751.995
1/1/2017,4344.762,460484,3787.597
4/1/2017,4378.283,463470.2,3824.09
7/1/2017,4412.272,466431.3,3861.12
10/1/2017,4446.077,469317.3,3898.603
1/1/2018,4479.367,472150.9,3936.417
4/1/2018,4512.27,474944.6,3974.597
