YYYYMM,PROPS,ROOMS
198701,121,15925
198702,52,7787
198703,78,10458
198704,75,9287
198705,104,11721
198706,458,33340
198707,105,11793
198708,71,8853
198709,79,9803
198710,73,9848
198711,61,7058
198712,72,8311
198801,149,12035
198802,56,5163
198803,61,7562
198804,80,8274
198805,105,10498
198806,417,30136
198807,73,10298
198808,91,11130
198809,74,9399
198810,69,9150
198811,54,5420
198812,60,6800
198901,72,8713
198902,64,7011
198903,83,9723
198904,58,6462
198905,94,9652
198906,315,20823
198907,86,8021
198908,70,7671
198909,70,7418
198910,87,10605
198911,49,8653
198912,74,7631
199001,72,10413
199002,68,7035
199003,80,7248
199004,70,9427
199005,84,8350
199006,389,32741
199007,76,6213
199008,78,8852
199009,51,5215
199010,51,7065
199011,67,7921
199012,65,6630
199101,63,5311
199102,52,5161
199103,56,5019
199104,40,3934
199105,61,4939
199106,229,17606
199107,39,3252
199108,43,4187
199109,26,3421
199110,31,3687
199111,25,2440
199112,28,3187
199201,53,4343
199202,36,3544
199203,33,3897
199204,42,3162
199205,43,3551
199206,213,11948
199207,38,3629
199208,27,2097
199209,30,1858
199210,32,2757
199211,39,3558
199212,25,3850
199301,30,1716
199302,32,2731
199303,19,1233
199304,24,1588
199305,56,3865
199306,208,12400
199307,57,3857
199308,41,2868
199309,28,2290
199310,29,9063
199311,30,1705
199312,46,8933
199401,47,3006
199402,35,2298
199403,37,3484
199404,57,3743
199405,57,5879
199406,239,15421
199407,48,3280
199408,58,5312
199409,47,3940
199410,54,3863
199411,41,4386
199412,47,3704
199501,74,4644
199502,49,4835
199503,62,6014
199504,79,5510
199505,101,7185
199506,281,17015
199507,74,7600
199508,69,6253
199509,72,4772
199510,85,6773
199511,61,5739
199512,65,4615
199601,91,6200
199602,74,5914
199603,98,7306
199604,88,9475
199605,107,8778
199606,288,22031
199607,117,8838
199608,94,7649
199609,100,8182
199610,86,7369
199611,86,7763
199612,120,12006
199701,141,13215
199702,83,7225
199703,106,8829
199704,118,9258
199705,144,11540
199706,333,25841
199707,146,11033
199708,118,12668
199709,146,12754
199710,118,9077
199711,104,11432
199712,152,14334
199801,179,15837
199802,107,9627
199803,109,9668
199804,136,10221
199805,153,13194
199806,334,27092
199807,169,14908
199808,130,11348
199809,132,13136
199810,119,15122
199811,107,10691
199812,136,14054
199901,145,12686
199902,120,13042
199903,142,18548
199904,121,14016
199905,155,15550
199906,242,20361
199907,141,13002
199908,127,12154
199909,105,14814
199910,117,9941
199911,85,8663
199912,88,7878
200001,104,10267
200002,92,8664
200003,126,12726
200004,109,9833
200005,141,13570
200006,250,21607
200007,122,11731
200008,101,10794
200009,96,9682
200010,90,10440
200011,87,7943
200012,90,9767
200101,101,11564
200102,74,9077
200103,98,9935
200104,85,10096
200105,109,10355
200106,207,15105
200107,117,11146
200108,95,8389
200109,66,6662
200110,78,8229
200111,58,5712
200112,79,9062
200201,78,8557
200202,64,6241
200203,73,7013
200204,70,6915
200205,80,6744
200206,133,13854
200207,71,6290
200208,62,7280
200209,57,5349
200210,69,7913
200211,54,7192
200212,56,6901
200301,72,6786
200302,39,4028
200303,51,4379
200304,49,4749
200305,71,6823
200306,123,9436
200307,65,8781
200308,63,6859
200309,52,3878
200310,41,3300
200311,39,3784
200312,46,9917
200401,39,3878
200402,32,3038
200403,49,4650
200404,55,6882
200405,76,6192
200406,92,8083
200407,60,4806
200408,48,4531
200409,50,4718
200410,41,4129
200411,37,3904
200412,62,6614
200501,53,4635
200502,45,3583
200503,60,6079
200504,48,7366
200505,79,7771
200506,114,9211
200507,61,5752
200508,77,6975
200509,51,4063
200510,56,5246
200511,57,5775
200512,49,8139
200601,56,5668
200602,52,3963
200603,63,5972
200604,68,6413
200605,75,8290
200606,107,10274
200607,69,6834
200608,80,7199
200609,75,8856
200610,65,6306
200611,65,7439
200612,76,7139
200701,70,6613
200702,52,5112
200703,73,6655
200704,85,8014
200705,113,10564
200706,113,10097
200707,82,7190
200708,96,9732
200709,88,8037
200710,97,10248
200711,91,10101
200712,98,9471
200801,73,10079
200802,97,10807
200803,98,11770
200804,103,12000
200805,121,11641
200806,136,14303
200807,139,13353
200808,120,13023
200809,112,12711
200810,144,14134
200811,113,11590
200812,155,18651
200901,98,11138
200902,97,10509
200903,110,10779
200904,144,13858
200905,132,12276
200906,153,14329
200907,151,15548
200908,113,11848
200909,110,12391
200910,105,13019
200911,74,8760
200912,89,14922
201001,75,8536
201002,70,8273
201003,65,6552
201004,86,9156
201005,72,6565
201006,68,6187
201007,59,5886
201008,46,4654
201009,48,4711
201010,39,3720
201011,36,4612
201012,41,7391
201101,29,2566
201102,23,3435
201103,36,4065
201104,35,3022
201105,40,3431
201106,48,4868
201107,33,2983
201108,30,2871
201109,28,2654
201110,25,2831
201111,30,3777
201112,33,2997
201201,24,2111
201202,24,2474
201203,25,1902
201204,38,5897
201205,47,5996
201206,51,4528
201207,37,4021
201208,51,4927
201209,37,3478
201210,28,3621
201211,42,3745
201212,37,4011
201301,33,3304
201302,32,3454
201303,44,4667
201304,40,4161
201305,43,4633
201306,48,5009
201307,50,5423
201308,45,4935
201309,40,4750
201310,32,3580
201311,40,4913
201312,60,6983
201401,31,3811
201402,28,2556
201403,41,5316
201404,33,3405
201405,78,9321
201406,46,4756
201407,49,5103
201408,20,1880
