"Index","year","month","qtr","days","washingtondc_supt","washingtondc_demt","washingtondc_rmrevt","washingtondc_demd","washingtondc_supd","washingtondc_occ","washingtondc_adr","washingtondc_revpar","washingtondc_demd_sa","washingtondc_demd_sf","washingtondc_demd_fct","washingtondc_occ_sa","washingtondc_occ_sf","washingtondc_occ_fct","washingtondc_adr_sa","washingtondc_adr_sf","washingtondc_adr_fct","washingtondc_revpar_sa","washingtondc_revpar_sf","washingtondc_revpar_fct","washingtondc_supd_sa","washingtondc_supd_sf","washingtondc_supd_fct","washingtondc_demar_sa"
1987-01-01,1987,1,1,31,1.86434,0.87853,59.085925,0.02833967742,0.06014,0.471228424,67.25544375,31.69267676,0.0405534010957411,0.69882369059734,NA,0.672775222964579,0.700424759882707,NA,68.9264470468581,0.975756717944244,NA,46.8401190040304,0.676613924855165,NA,0.0601496947248387,0.999838823374199,NA,14.8019913999455
1987-02-01,1987,2,1,28,1.686692,1.00719,70.797025,0.03597107143,0.060239,0.597139252,70.29162819,41.97389031,0.0428125154215305,0.840199905934751,NA,0.708214722083229,0.843161308823829,NA,69.4409233808535,1.01225077040639,NA,49.4214157263877,0.849305704684392,NA,0.0603706046552836,0.997820054047245,NA,15.6265681288586
1987-03-01,1987,3,1,31,1.883064,1.310663,94.750647,0.04227945161,0.060744,0.696026795,72.29215061,50.31727387,0.0407797578461441,1.03677544554124,NA,0.670277705904162,1.03841555353703,NA,68.7646080150861,1.05129881048897,NA,46.0776480699386,1.09201046445831,NA,0.0607179162376868,1.0004295892206,NA,14.8846116138426
1987-04-01,1987,4,2,30,1.83462,1.447002,104.427317,0.0482334,0.061154,0.78872028,72.16805298,56.92040695,0.0413158472076959,1.16743098011592,NA,0.673376830634125,1.17129108712763,NA,68.8700249126598,1.0478877141619,NA,46.6581364917599,1.21994599934467,NA,0.0610744759328315,1.00130208349648,NA,15.080284230809
1987-05-01,1987,5,2,31,1.918745,1.484697,107.203627,0.04789345161,0.061895,0.773785469,72.2057275,55.87174273,0.0413862510546285,1.15723097380292,NA,0.6682737022484,1.15788705495459,NA,68.3402101596454,1.05656285415752,NA,45.9313163060182,1.21641936751287,NA,0.0618124469989173,1.00133554009088,NA,15.1059816349394
1987-06-01,1987,6,2,30,1.90023,1.49087,105.054725,0.04969566667,0.063341,0.784573446,70.46538263,55.2852681,0.0421066844310621,1.18023224439252,NA,0.667668539238684,1.17509422698667,NA,69.9381946008162,1.00753791304155,NA,46.9582102475304,1.17732911472936,NA,0.0632674263902978,1.00116289872846,NA,15.3689398173377
1987-07-01,1987,7,3,31,1.97315,1.43913,92.560165,0.04642354839,0.06365,0.729356613,64.3167504,46.9098472,0.0433053036353403,1.07200607068634,NA,0.681461416381689,1.07028306440681,NA,70.0468619673541,0.91819602753904,NA,47.5287940665262,0.986977433812861,NA,0.0635827928213221,1.00105700262124,NA,15.8064358268992
1987-08-01,1987,8,3,31,1.979567,1.358613,85.883547,0.04382622581,0.063857,0.686318271,63.21413603,43.38501652,0.0422691664973088,1.03683676404621,NA,0.663380489055526,1.03457711271721,NA,70.1294402415455,0.901392279936539,NA,46.8045861447061,0.926939432513434,NA,0.0637662094758899,1.00142380305896,NA,15.4282457715177
1987-09-01,1987,9,3,30,1.91862,1.388877,98.99415,0.0462959,0.063954,0.723893736,71.27639813,51.59653814,0.0436984352297215,1.05944068149406,NA,0.682698945934387,1.06034107758762,NA,69.6834898670381,1.02285919184015,NA,47.6461721082791,1.08291045968485,NA,0.0639636764929025,0.999848718938106,NA,15.9499288588483
1987-10-01,1987,10,4,31,2.009761,1.544412,114.481136,0.04981974194,0.064831,0.768455553,74.12603373,56.96256222,0.0439618184235725,1.13325025502781,NA,0.680307592831465,1.12957074284833,NA,69.6749724245005,1.06388321588965,NA,47.6123824183513,1.19638126316579,NA,0.064915909937048,0.998692001126837,NA,16.046063724604
