"Index","year","month","qtr","days","totus_supt","totus_demt","totus_rmrevt","totus_demd","totus_supd","totus_occ","totus_adr","totus_revpar"
1987-01-01,1987,1,1,31,88.818441,45.926279,2367.793436,1.481492871,2.865111,0.517080445,51.5563962,26.65880429
1987-02-01,1987,2,1,28,80.502268,48.899583,2619.375507,1.746413679,2.875081,0.607431122,53.56641808,32.53790945
1987-03-01,1987,3,1,31,89.721192,58.115933,3118.336678,1.874707516,2.894232,0.647739199,53.65717312,34.75585431
1987-04-01,1987,4,2,30,87.67761,55.989583,2942.396601,1.866319433,2.922587,0.638584731,52.55257216,33.55927016
1987-05-01,1987,5,2,31,92.008992,58.964734,3084.731768,1.902088194,2.968032,0.640858385,52.31485939,33.52641629
1987-06-01,1987,6,2,30,90.32415,63.814573,3300.412748,2.127152433,3.010805,0.706506211,51.71879389,36.53964912
1987-07-01,1987,7,3,31,93.721184,67.109852,3494.324868,2.164833935,3.023264,0.716058517,52.06873155,37.28425868
1987-08-01,1987,8,3,31,94.010166,68.269495,3584.546688,2.202241774,3.032586,0.726192686,52.50583277,38.12935176
1987-09-01,1987,9,3,30,91.25913,61.480543,3203.948367,2.049351433,3.041971,0.673691969,52.11320868,35.10825018
1987-10-01,1987,10,4,31,94.157726,62.816659,3324.969042,2.026343839,3.037346,0.667142907,52.93132578,35.31275853
1987-11-01,1987,11,4,30,90.16134,51.631288,2683.437748,1.721042933,3.005378,0.572654399,51.97309329,29.76262052
1987-12-01,1987,12,4,31,93.228687,45.03946,2281.952067,1.452885806,3.007377,0.483107308,50.66561782,24.47693023
1988-01-01,1988,1,1,31,93.478268,47.580243,2539.613139,1.534846548,3.015428,0.50899791,53.37537135,27.16795244
1988-02-01,1988,2,1,28,84.641592,49.937648,2783.207484,1.783487429,3.022914,0.58998947,55.73365177,32.88226767
1988-03-01,1988,3,1,31,94.183859,61.014499,3378.877101,1.968209645,3.038189,0.647823307,55.37826511,35.87533084
1988-04-01,1988,4,2,30,91.97079,59.275098,3215.108408,1.9758366,3.065693,0.644499172,54.24045706,34.95792966
1988-05-01,1988,5,2,31,96.390842,61.621176,3343.939568,1.987779871,3.109382,0.639284549,54.2660784,34.69146548
